メンバーコード,ログインコード,メンバー名,力量タイプ  ###[competence_type]###,力量コード,力量名,レベル,取得日  ###[acquired_date]###,有効期限  ###[expiration_date]###,備考  ###[remarks]###,文書番号,作成日,更新日,保有力量コード  ###[member_acquired_competence_level_code]###
m1,m1,山田 和弘,SKILL,seizoubu3,製品理解,4,2022/01/24,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,hILoItOJHzIGwYafoXcR
m1,m1,山田 和弘,EDUCATION,C0111-1,コンプライアンス研修,●,2022/09/01,2023/08/31,,,2024/12/26 23:32:54,2024/12/26 23:32:54,KBJNzKmnRwngL71ZxXkS
m1,m1,山田 和弘,EDUCATION,C0111-2,情報セキュリティ研修,●,2022/04/30,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,sDcc8BFa2vvBsucmaLDx
m1,m1,山田 和弘,EDUCATION,C0111-3,ISO9001研修,●,2022/04/30,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,f0vrIZT4NdDvbRor8ORu
m1,m1,山田 和弘,EDUCATION,C0111-4,ISO14001研修,●,2022/04/30,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,7UQ2XVBLmBMV22VbwvlL
m1,m1,山田 和弘,EDUCATION,C01121-1,【新入社員】基礎研修,●,2000/04/04,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,ft7SNl3atY8uvXplXmWe
m1,m1,山田 和弘,EDUCATION,C01121-2,【新入社員】ビジネスマナー研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,j97JZPigmLYHTiBqVNvT
m1,m1,山田 和弘,EDUCATION,C01121-3,【新入社員】コンプライアンス研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,YCeKZoc2OOeLVYssUTwA
m1,m1,山田 和弘,EDUCATION,C01121-4,【新入社員】ロジカルシンキング研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,5arnX09vmdZeoUbtuBWU
m1,m1,山田 和弘,EDUCATION,C01121-5,【新入社員】現場研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,JDPtspU7H17FLonxr3EQ
m1,m1,山田 和弘,EDUCATION,C01122-1,【2年目】ロジカルシンキング研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,gEEB6gKUHKL7abm8TonY
m1,m1,山田 和弘,EDUCATION,C01122-2,【2年目】資料作成研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,bQoX270MM4bNaxDk5C7s
m1,m1,山田 和弘,EDUCATION,C01122-3,【2年目】チームビルディング研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,wSgfjDYzJqebhchyKiuO
m1,m1,山田 和弘,EDUCATION,C01122-4,【2年目】ファシリテーション研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,iDPYvcYiqrDrs80wKLXz
m1,m1,山田 和弘,EDUCATION,C01123-1,【中堅社員】課題解決研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,ltbujN15pU5jfjtETk51
m1,m1,山田 和弘,EDUCATION,C01123-2,【中堅社員】リーダーシップ研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,O30jUu1haYwwFg0LWLB6
m1,m1,山田 和弘,EDUCATION,C01123-3,【中堅社員】コミュニケーション研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,w9P5bPzMe9vzmJBHCHHP
m1,m1,山田 和弘,EDUCATION,C01123-4,【中堅社員】業務改善研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,7N0Vm1BUopqPKvzggoWq
m1,m1,山田 和弘,EDUCATION,C01123-5,【中堅社員】後輩育成研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,ORjeBB7OKPg4fsbpYik2
m1,m1,山田 和弘,EDUCATION,C01124-1,【管理職】ハラスメント防止研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,kEajYwDd5hcvsWBAVHta
m1,m1,山田 和弘,EDUCATION,C01124-2,【管理職】マネジメント研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,ofUyhCuL3t2d01FfHhQP
m1,m1,山田 和弘,EDUCATION,C01124-3,【管理職】コーチング研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,BC62PjyheKU01EPosc6C
m1,m1,山田 和弘,EDUCATION,C01124-4,【管理職】リスクマネジメント研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,HTFsMh9FT1iQqhIevywM
m1,m1,山田 和弘,EDUCATION,C01124-5,【管理職】経営数字力強化研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,N8kFMQsoMrvmOyeTN0BI
m1,m1,山田 和弘,EDUCATION,C01131-1,QC研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,oMtrpfdlqz2LcV5gWka3
m1,m1,山田 和弘,EDUCATION,C01131-2,5S研修,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,3TK1BCmikzoyR0PGQFFK
m1,m1,山田 和弘,EDUCATION,C01131-3,安全講習,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,OGR3DcGe9vo0f3MOdAdR
m1,m1,山田 和弘,EDUCATION,C0114-1,【eラーニング】ロジカルシンキング　-基礎編-,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,DDdNk9UwWNIXgNwbvLek
m1,m1,山田 和弘,EDUCATION,C0114-10,【eラーニング】TOEIC,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,hiIvHraFQaAe5AtyZhCS
m1,m1,山田 和弘,EDUCATION,C0114-2,【eラーニング】ロジカルシンキング　-応用編-,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,9kMTSXa16VcXosvd17V0
m1,m1,山田 和弘,EDUCATION,C0114-3,【eラーニング】ロジカルシンキング　-実践編-,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,hZ16vaKbFodC4dh9Glhh
m1,m1,山田 和弘,EDUCATION,C0114-4,【eラーニング】ロジカルライティング　-基礎編-,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,LX7LC9iZCYaeWqGHZr8a
m1,m1,山田 和弘,EDUCATION,C0114-5,【eラーニング】ロジカルライティング　-応用編-,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,2EPg11IZfzT9ZzVHQRbv
m1,m1,山田 和弘,EDUCATION,C0114-6,【eラーニング】ロジカルライティング　-実践編-,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,d2DL6PbG529BEwHPp6Dn
m1,m1,山田 和弘,EDUCATION,C0114-7,【eラーニング】キャリアデザイン,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,EcJMUXKsUCOFKrJlBZuZ
m1,m1,山田 和弘,EDUCATION,C0114-8,【eラーニング】目標設定,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,DWndLpksMW2Efa3t8bUy
m1,m1,山田 和弘,EDUCATION,C0114-9,【eラーニング】タスク管理,●,2007/03/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,3rPRhVHkqhNOok3eA8k7
m1,m1,山田 和弘,EDUCATION,C0123a1,自由研削砥石取扱特別教育,●,1997/03/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,YW6RWW5bR9XcdCAwEspq
m1,m1,山田 和弘,EDUCATION,C0123a10,ホイスト式クレーン特別教育,●,1997/03/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,WxmLm6lUiX9ttD4Hosl5
m1,m1,山田 和弘,EDUCATION,C0123a11,移動式クレーン特別教育,●,1997/03/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,z40t7bkZ39HkcxAzPSmh
m1,m1,山田 和弘,EDUCATION,C0123a12,高所作業車運転（10m未満）,●,1997/03/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,4dzDRNU8sroqOAdFxXbs
m1,m1,山田 和弘,EDUCATION,C0123a13,石綿取扱特別教育,●,1997/03/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,KIfAInBhomAKdWQ3QLvS
m1,m1,山田 和弘,EDUCATION,C0123a14,フルハーネス型墜落制止器具特別教育,●,1997/03/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,BrG7wBwuoareFpQ2pAVT
m1,m1,山田 和弘,EDUCATION,C0123a15,管理監督者用騒音教育,●,1997/03/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,1A0I43B7hIb7vLXsrMna
m1,m1,山田 和弘,EDUCATION,C0123a16,足場組立特別教育,●,1997/03/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,rqCD0zUq0kPxHeZIbAGa
m1,m1,山田 和弘,EDUCATION,C0123a2,アーク溶接特別教育,●,1997/03/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,hKaYrh9l2TZ9QKmx3xJm
m1,m1,山田 和弘,EDUCATION,C0123a3,酸素欠乏等特別教育,●,1997/03/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,1g07WBoESnhKbz5hCUnF
m1,m1,山田 和弘,EDUCATION,C0123a4,振動工具取扱特別教育,●,1997/03/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,LvSt8Z6HrIlVnpeIJ0fb
m1,m1,山田 和弘,EDUCATION,C0123a5,低圧電気取扱特別教育,●,1997/03/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,Yt3KDbepbjajW41ahlMV
m1,m1,山田 和弘,EDUCATION,C0123a6,高圧電気取扱特別教育,●,1997/03/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,rkT0HwOYOFtHMEuAjsmb
m1,m1,山田 和弘,EDUCATION,C0123a7,有機溶剤業務特別教育,●,1997/03/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,vqKh0vL8mhRPvLuf4SbC
m1,m1,山田 和弘,EDUCATION,C0123a8,特定粉塵作業特別教育,●,1997/03/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,PJHGfvoizr9ekK8kRkcW
m1,m1,山田 和弘,EDUCATION,C0123a9,移動式クレーン特別教育,●,1997/03/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,rhRbJdLNTLYig14CaMjl
m1,m1,山田 和弘,EDUCATION,EoVLVUrdNKLLNd7nRyST,課長職マネジメント研修,●,2025/09/12,,,,2025/09/12 14:35:44,2025/09/12 14:35:44,P2jyLrcx43DtYFQLd1zS
m1,m1,山田 和弘,EDUCATION,bkAnDgKqdpriuLK0cr7J,子力量_テスト3（レベル2）,●,2024/10/01,2024/10/31,,,2025/10/15 12:54:49,2025/10/15 12:54:49,URoQ2yyyMNNEKrblApLa
m1,m1,山田 和弘,EDUCATION,kakou-e1,特殊品製品理解,●,2017/11/27,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,41hQjG9EJMtQeVAaQbeE
m1,m1,山田 和弘,EDUCATION,kakou-e3,安全講習（Lv.1）,●,2016/02/26,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,4U6rlNLBYeCnS2qnUR85
m1,m1,山田 和弘,EDUCATION,nintei-e1,受入検査員OJT教育,●,2015/05/19,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,I6BpuuF7yPpKMCtShajs
m1,m1,山田 和弘,EDUCATION,nintei-e10,出荷検査員認定教育,●,2016/03/01,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,XPVVcVfEmsJamFKofG1J
m1,m1,山田 和弘,EDUCATION,nintei-e11,出荷検査員指導者OJT教育,●,2016/03/04,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,AWEvGP58wdtVBZ9SaLAp
m1,m1,山田 和弘,EDUCATION,nintei-e12,出荷検査員指導者認定教育,●,2016/03/04,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,JvXzgNvMiMLYuow5bOof
m1,m1,山田 和弘,EDUCATION,nintei-e2,受入検査員認定教育,●,2015/04/22,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,fMdQy7RZAqLwc909Qs0p
m1,m1,山田 和弘,EDUCATION,nintei-e3,受入検査員指導者OJT教育,●,2017/03/02,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,HiVnCdccx52vItuxTSb9
m1,m1,山田 和弘,EDUCATION,nintei-e4,受入検査員指導者認定教育,●,2016/04/12,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,I5AUe2FULa1sgqldmDgU
m1,m1,山田 和弘,EDUCATION,nintei-e5,工程内検査員OJT教育,●,2016/03/01,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,hAomNKAl6GB1te0n4gCA
m1,m1,山田 和弘,EDUCATION,nintei-e6,工程内検査員認定教育,●,2015/04/02,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,nDCmoSjGnBapbQECzM4r
m1,m1,山田 和弘,EDUCATION,nintei-e7,工程内検査員指導者OJT教育,●,2016/03/09,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,7NlsmR3W4Bv5hMHfg4I1
m1,m1,山田 和弘,EDUCATION,nintei-e8,工程内検査員指導者認定教育,●,2016/03/10,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,om7krPgwaNSTn3G0Iw2Z
m1,m1,山田 和弘,EDUCATION,nintei-e9,出荷検査員OJT教育,●,2016/04/01,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,SpYavWSZ8iJMSx36Ca0O
m1,m1,山田 和弘,EDUCATION,seizoubu-e1,図面読み取り講習（Lv.1）,●,2025/09/04,2026/09/17,,,2025/09/04 09:03:00,2025/09/04 09:03:00,4o4v94p6PRP0B6q2I397
m1,m1,山田 和弘,EDUCATION,seizoubu-e2,ノギス（Lv.1）,●,2019/02/04,2024/02/08,,,2024/12/26 23:32:54,2024/12/26 23:32:54,RB0MPJ6xm6X49FGCXbEr
m1,m1,山田 和弘,EDUCATION,seizoubu-e3,ハイトゲージ（Lv.1）,●,2016/02/08,2024/02/07,,,2024/12/26 23:32:54,2024/12/26 23:32:54,xwNu7q5ZAn9HWkAwYGr0
m1,m1,山田 和弘,EDUCATION,seizoubu-e4,マイクロメータ（Lv.1）,●,2015/02/02,2024/02/06,,,2024/12/26 23:32:54,2024/12/26 23:32:54,YcgXyMXhotMCgpCv8fFm
m1,m1,山田 和弘,EDUCATION,seizoubu-e5,製品A（Lv.1）,●,2018/11/12,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,D2FI6BnQFeC1sBAIKLA5
m1,m1,山田 和弘,EDUCATION,seizoubu-e6,製品B（Lv.2）,●,2019/02/28,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,BaGy0r5Uc9soOM1rJ0oO
m1,m1,山田 和弘,EDUCATION,seizoubu-e7,製品C（Lv.3）,●,2020/11/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,QAUcwiA2uOpYdznMTlDf
m1,m1,山田 和弘,EDUCATION,seizoubu-e8,製品D（Lv.4）,●,2022/01/24,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,N8fTxsQuCoBiLgCixWPO
m1,m1,山田 和弘,LICENSE,C0121a1,危険物取扱者（乙1）,●,2013/05/06,2023/05/05,免状番号：XXXXXX,,2024/12/26 23:32:54,2024/12/26 23:32:54,4GnM4udPPvRh9Ehl1p0G
m1,m1,山田 和弘,LICENSE,C0121a10,普通ボイラー溶接士,●,2023/03/31,2025/03/31,免状番号：XXXXXX,,2024/12/26 23:32:54,2024/12/26 23:32:54,mBGq0pIC7xCtcQTF7xYs
m1,m1,山田 和弘,LICENSE,C0121a11,特別ボイラー溶接士,●,2022/12/31,2024/12/31,免状番号：XXXXXX,,2024/12/26 23:32:54,2024/12/26 23:32:54,f5luabbkaszZJdUjk9fr
m1,m1,山田 和弘,LICENSE,C0121a12,第一種電気工事士,●,1993/08/01,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,1GZaNyPvaRZ6U2Zcb25c
m1,m1,山田 和弘,LICENSE,C0121a13,第二種電気工事士,●,1993/08/02,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,UfxSMgdvJyGBt4uGTJuR
m1,m1,山田 和弘,LICENSE,C0121a14,移動式クレーン運転士,●,1993/08/03,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,9aUQydnNduJbwvDIl9z3
m1,m1,山田 和弘,LICENSE,C0121a15,第一種衛生管理者,●,1993/08/04,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,qjsZE9P8wMYYbERixeSv
m1,m1,山田 和弘,LICENSE,C0121a16,第二種衛生管理者,●,1993/08/05,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,QzPt36SuBU8lrqljycPi
m1,m1,山田 和弘,LICENSE,C0121a17,一級ボイラー技士,●,1993/08/06,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,F3fiCv1vpXiM3stDQjMQ
m1,m1,山田 和弘,LICENSE,C0121a18,二級ボイラー技士,●,1993/08/07,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,x69t5zAm7PfidhxIzNPH
m1,m1,山田 和弘,LICENSE,C0121a19,高圧ガス（乙種機械）,●,1993/08/08,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,jnBcL1rLepTkYoDD2HTq
m1,m1,山田 和弘,LICENSE,C0121a2,危険物取扱者（乙2）,●,2015/05/12,2025/05/11,免状番号：XXXXXX,,2024/12/26 23:32:54,2024/12/26 23:32:54,z8IzLUCctIq040oYi1XN
m1,m1,山田 和弘,LICENSE,C0121a20,高圧ガス（第二種冷凍）,●,1993/08/09,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,JPvhECtMpj24MukYCUtn
m1,m1,山田 和弘,LICENSE,C0121a21,高圧ガス（第三種冷凍）,●,1993/08/10,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,FsOHHhvQsc3d9PNG0aTH
m1,m1,山田 和弘,LICENSE,C0121a22,高圧ガス（乙種化学）,●,1993/08/11,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,m3xzo16zpMDTWJAJkx1q
m1,m1,山田 和弘,LICENSE,C0121a23,高圧ガス（特別丙種化学）,●,1993/08/12,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,c9cbi26rtM9Iklr49jwf
m1,m1,山田 和弘,LICENSE,C0121a3,危険物取扱者（乙3）,●,2013/05/06,2023/05/05,免状番号：XXXXXX,,2024/12/26 23:32:54,2024/12/26 23:32:54,WHnueYbQDJ2rj8H8Qgll
m1,m1,山田 和弘,LICENSE,C0121a4,危険物取扱者（乙4）,●,2013/10/01,2023/10/01,免状番号：XXXXXX,,2024/12/26 23:32:54,2024/12/27 10:22:13,OwgWwFQHbA7foCNFzPOD
m1,m1,山田 和弘,LICENSE,C0121a5,危険物取扱者（乙5）,●,2016/05/06,2026/05/05,免状番号：XXXXXX,,2024/12/26 23:32:54,2024/12/26 23:32:54,k3iCd4Vup9MT58FmFPoe
m1,m1,山田 和弘,LICENSE,C0121a6,危険物取扱者（乙6）,●,2017/05/06,2027/05/05,免状番号：XXXXXX,,2024/12/26 23:32:54,2024/12/26 23:32:54,SXrBcAuy0JEaZoaFVgIV
m1,m1,山田 和弘,LICENSE,C0121a7,危険物取扱者（甲）,●,2018/05/06,2028/05/05,免状番号：XXXXXX,,2024/12/26 23:32:54,2024/12/26 23:32:54,kNpNIlkp6xPeBm7x7PGb
m1,m1,山田 和弘,LICENSE,C0121a8,消防設備士（乙種６類）,●,1990/07/01,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,kdcBy7SVNtxOp7W8xdvo
m1,m1,山田 和弘,LICENSE,C0121a9,消防設備士（乙種7類）,●,1990/07/01,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,X74sn7JY57KK7ReBzCXG
m1,m1,山田 和弘,LICENSE,C0122b1,ガス溶接作業主任者,●,1993/08/13,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,vrN1zSM7f7x59m4oN5X6
m1,m1,山田 和弘,LICENSE,C0122b10,鉛作業主任者技能講習,●,1993/08/18,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,4T49RefaMIEWlffE0rgh
m1,m1,山田 和弘,LICENSE,C0122b11,特定化学物資等作業主任者,●,1993/08/18,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,5GZjfzBs8RtfqZpa3CLN
m1,m1,山田 和弘,LICENSE,C0122b12,石綿作業主任者,●,1993/08/18,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,PvZWKhg8EvhNjV96R8a5
m1,m1,山田 和弘,LICENSE,C0122b13,第一種自家用発電設備専門技術者,●,1993/08/18,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,zpVPQqJTUcIuIdX3Y2fL
m1,m1,山田 和弘,LICENSE,C0122b14,フォークリフト運転技能講習,●,1993/08/18,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,zkxvtlcRFcg53kMatCFW
m1,m1,山田 和弘,LICENSE,C0122b15,車両系建設機械（整地）,●,1993/08/18,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,dcAawiuLkn8C9P4fuz7y
m1,m1,山田 和弘,LICENSE,C0122b16,車両系建設機械（解体）,●,1993/08/18,,,,2024/12/26 23:32:54,2024/12/26 23:32:54,ERVt5OoNKgYYQZwz8Q2h
